,Item,Form,match_count,scorer,threshold,name,score,nutrition_index
156,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Taro, with salt, cooked",100.0,1293
157,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Amaranth grain, cooked",100.0,1348
158,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yogurt, whole milk, fruit, Greek",100.0,1366
159,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"English muffins, whole grain white",100.0,1441
160,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Asparagus, drained, boiled, cooked",100.0,1517
161,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Taro shoots, without salt, cooked",100.0,1526
162,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kielbasa, pan-fried, fully cooked",100.0,1609
163,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat and skin, whole",100.0,1610
164,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Canadian bacon, pan-fried, cooked",100.0,1611
165,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kielbasa, unheated, fully cooked",100.0,1679
166,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Mutton, roasted (Navajo), cooked",100.0,1688
167,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yogurt, whole milk, plain, Greek",100.0,1766
168,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Egg, hard-boiled, cooked, whole",100.0,1813
169,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kielbasa, grilled, fully cooked",100.0,1852
170,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Tree fern, without salt, cooked",100.0,1887
171,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pheasant, total edible, cooked",100.0,1935
172,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Beets, drained, boiled, cooked",100.0,1953
173,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cheese, whole milk, mozzarella",100.0,2000
174,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Nopales, without salt, cooked",100.0,2036
175,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kale, with salt, drained, boiled, cooked",100.0,2089
176,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Fish, whole (Alaska Native), blackfish",100.0,2325
177,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Bread, whole wheat, french or vienna",100.0,2481
178,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cereals, cooked with water, WHEATENA",100.0,2563
179,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato, home-prepared, candied, cooked",100.0,2747
180,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Purslane, with salt, drained, boiled, cooked",100.0,2765
181,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Eggplant, with salt, drained, boiled, cooked",100.0,2777
182,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Parsnips, with salt, drained, boiled, cooked",100.0,2779
183,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Broccoli, with salt, drained, boiled, cooked",100.0,2792
184,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, back from whole bird",100.0,2793
185,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Celeriac, with salt, drained, boiled, cooked",100.0,2797
186,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Collards, with salt, drained, boiled, cooked",100.0,2798
187,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kohlrabi, with salt, drained, boiled, cooked",100.0,2858
188,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cheese, low moisture, whole milk, mozzarella",100.0,2873
189,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sesbania flower, with salt, steamed, cooked",100.0,2892
190,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Dock, without salt, drained, boiled, cooked",100.0,2903
191,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kale, without salt, drained, boiled, cooked",100.0,2912
192,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pumpkin, with salt, drained, boiled, cooked",100.0,2922
193,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Okra, without salt, drained, boiled, cooked",100.0,2928
194,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turnips, with salt, drained, boiled, cooked",100.0,2949
195,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Spinach, with salt, drained, boiled, cooked",100.0,2989
196,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Salsify, with salt, drained, boiled, cooked",100.0,2990
197,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pasta, without added salt, enriched, cooked",100.0,2994
198,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cardoon, with salt, drained, boiled, cooked",100.0,3014
200,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Taro leaves, without salt, steamed, cooked",100.0,3028
201,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Borage, with salt, drained, boiled, cooked",100.0,3037
202,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Onions, with salt, drained, boiled, cooked",100.0,3098
203,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pasta, with added salt, unenriched, cooked",100.0,3107
204,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Celery, with salt, drained, boiled, cooked",100.0,3108
205,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato, without skin, boiled, cooked",100.0,3122
206,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Beets, with salt, boiled. drained, cooked",100.0,3193
207,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, cooked, meat only, whole",100.0,3265
208,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Dock, with salt, drained, boiled, cooked",100.0,3325
209,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, simmered, cooked, giblets, whole",100.0,3331
210,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Rolls, whole wheat, hamburger or hot dog",100.0,3342
211,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pasta, with added salt, enriched, cooked",100.0,3346
212,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Okra, with salt, drained, boiled, cooked",100.0,3361
213,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Celery, without salt, drained, boiled, cooked",100.0,3403
214,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Lambsquarters, with salt, drained, boiled, cooked",100.0,3420
215,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Potatoes, with salt, skin, cooked in skin, boiled",100.0,3425
216,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, meat only, from whole bird, wing",100.0,3430
217,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Escarole, no salt added, drained, boiled, cooked",100.0,3487
218,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Milk, with added vitamin D, 3.25% milkfat, whole",100.0,3505
219,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Butterbur, without salt, drained, boiled, cooked",100.0,3507
220,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Burdock root, with salt, drained, boiled, cooked",100.0,3508
221,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Arrowhead, without salt, drained, boiled, cooked",100.0,3536
222,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Rutabagas, without salt, drained, boiled, cooked",100.0,3565
223,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Babyfood, prepared with whole milk, rice, cereal",100.0,3592
224,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"School Lunch, whole grain breaded, chicken patty",100.0,3597
225,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Broccoli, without salt, drained, boiled, cooked",100.0,3603
226,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Beet greens, with salt, drained, boiled, cooked",100.0,3606
227,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Celeriac, without salt, drained, boiled, cooked",100.0,3614
228,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Eggplant, without salt, drained, boiled, cooked",100.0,3642
229,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Purslane, without salt, drained, boiled, cooked",100.0,3648
230,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Parsnips, without salt, drained, boiled, cooked",100.0,3668
231,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, from whole bird, breast",100.0,3671
232,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Collards, without salt, drained, boiled, cooked",100.0,3677
233,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cereals, with salt, cooked with water, WHEATENA",100.0,3678
234,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cauliflower, with salt, drained, boiled, cooked",100.0,3683
235,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Crackers, with whole wheat, standard snack-type",100.0,3684
236,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato leaves, with salt, steamed, cooked",100.0,3732
237,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Kohlrabi, without salt, drained, boiled, cooked",100.0,3742
238,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pumpkin, without salt, drained, boiled, cooked",100.0,3796
239,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sesbania flower, without salt, steamed, cooked",100.0,3800
241,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cardoon, without salt, drained, boiled, cooked",100.0,3810
242,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Oopah (tunicate), whole animal (Alaska Native)",100.0,3827
243,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, (light and dark), skin from whole",100.0,3843
244,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Salsify, without salt, drained, boiled, cooked",100.0,3871
245,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, from whole bird, thigh",100.0,3878
246,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Spinach, without salt, drained, boiled, cooked",100.0,3879
247,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, cooked, dark meat, from whole",100.0,3883
248,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Lotus root, with salt, drained, boiled, cooked",100.0,3888
249,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turnips, without salt, drained, boiled, cooked",100.0,3896
250,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cabbage, without salt, drained, boiled, cooked",100.0,3897
251,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Soybeans, without salt, boiled, mature cooked",100.0,3932
252,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Borage, without salt, drained, boiled, cooked",100.0,3944
253,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Tortillas, whole wheat, ready-to-bake or -fry",100.0,3948
254,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Butterbur, with salt, drained, boiled, cooked",100.0,3974
255,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Arrowhead, with salt, drained, boiled, cooked",100.0,3987
256,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Asparagus, with salt, drained, boiled, cooked",100.0,3988
257,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, cooked, meat and skin, whole",100.0,4011
258,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pasta, without added salt, unenriched, cooked",100.0,4030
259,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Rutabagas, with salt, drained, boiled, cooked",100.0,4037
260,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Onions, without salt, drained, boiled, cooked",100.0,4057
261,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, from whole bird, wing",100.0,4059
262,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Mustard greens, with salt, drained, boiled, cooked",100.0,4083
263,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Mustard greens, without salt, drained, boiled, cooked",100.0,4101
264,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Potatoes, without salt, flesh, cooked in skin, boiled",100.0,4141
265,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Drumstick pods, without salt, drained, boiled, cooked",100.0,4144
266,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pumpkin leaves, without salt, drained, boiled, cooked",100.0,4149
267,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato, with salt, flesh, baked in skin, cooked",100.0,4159
268,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato, with salt, without skin, boiled, cooked",100.0,4160
269,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yambean (jicama), with salt, drained, boiled, cooked",100.0,4187
270,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cereals, with salt, cooked with water, CREAM OF RICE",100.0,4226
271,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Dandelion greens, with salt, drained, boiled, cooked",100.0,4239
272,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Drumstick leaves, with salt, drained, boiled, cooked",100.0,4240
273,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Brussels sprouts, with salt, drained, boiled, cooked",100.0,4248
274,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Potatoes, without salt, skin, cooked in skin, boiled",100.0,4284
275,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Bamboo shoots, without salt, drained, boiled, cooked",100.0,4285
276,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yam, without salt, or baked, drained, boiled, cooked",100.0,4291
277,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yardlong bean, without salt, drained, boiled, cooked",100.0,4300
278,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Lambsquarters, without salt, drained, boiled, cooked",100.0,4314
279,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Beverages, prepared with whole milk, chocolate syrup",100.0,4318
280,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turnip greens, without salt, drained, boiled, cooked",100.0,4322
281,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Burdock root, without salt, drained, boiled, cooked",100.0,4375
282,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Babyfood, prepared with whole milk, oatmeal, cereal",100.0,4376
283,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Amaranth leaves, with salt, drained, boiled, cooked",100.0,4394
284,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Caribou, cooked (Alaska Native), meat, hind quarter",100.0,4448
285,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, meat only, from whole bird, breast",100.0,4457
286,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Sweet potato leaves, without salt, steamed, cooked",100.0,4473
287,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Drumstick pods, with salt, drained, boiled, cooked",100.0,4522
288,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Babyfood, prepared with whole milk, barley, cereal",100.0,4531
289,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, meat only, from whole bird, thigh",100.0,4537
290,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Beet greens, without salt, drained, boiled, cooked",100.0,4543
291,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, with added solution, meat only, whole",100.0,4544
292,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Potatoes, with salt, flesh, cooked in skin, boiled",100.0,4608
293,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cauliflower, without salt, drained, boiled, cooked",100.0,4611
294,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Pumpkin leaves, with salt, drained, boiled, cooked",100.0,4617
295,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, raw, meat only, from whole bird, drumstick",100.0,4622
296,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"School Lunch, whole grain breaded, chicken nuggets",100.0,4623
297,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turnip greens, with salt, drained, boiled, cooked",100.0,4626
298,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yam, with salt, or baked, drained, boiled, cooked",100.0,4627
299,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Yardlong bean, with salt, drained, boiled, cooked",100.0,4628
300,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Bamboo shoots, with salt, drained, boiled, cooked",100.0,4630
301,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Cereals ready-to-eat, WEETABIX whole grain cereal",100.0,4642
302,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, skin from whole (light and dark)",100.0,4656
303,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Potatoes, whole milk added, home-prepared, mashed",100.0,4657
304,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Lotus root, without salt, drained, boiled, cooked",100.0,4694
305,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Babyfood, prepared with whole milk, mixed, cereal",100.0,4700
306,"Carrots, cooked whole",Fresh,325,<cyfunction partial_token_ratio at 0x7fc393193110>,90,"Turkey, roasted, meat only, from whole bird, back",100.0,4704
