match,score,index,Item,Scorer,Form,is_true_positive
"Veal, braised, cooked, separable lean only, osso buco, foreshank",72.72727272727273,6764,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",72.72727272727273,7134,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, hind-shank, imported, New Zealand",72.72727272727273,7135,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, fore-shank, imported, New Zealand",72.72727272727273,7162,Radish,partial_token_ratio,Fresh,0
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",72.72727272727273,7172,Radish,partial_token_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, country-style ribs, loin, fresh",72.72727272727273,7252,Radish,partial_token_ratio,Fresh,0
"Chicken, braised, cooked, meat only, thigh, dark meat, broilers or fryers",72.72727272727273,7376,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, breast, imported, New Zealand",72.72727272727273,7386,Radish,partial_token_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, square-cut shoulder chops, imported, New Zealand",72.72727272727273,7772,Radish,partial_token_ratio,Fresh,0
"Horseradish, prepared",100.0,96,Radish,partial_token_set_ratio,Fresh,0
"Sauce, horseradish",100.0,320,Radish,partial_token_set_ratio,Fresh,0
"Radishes, raw",100.0,548,Radish,partial_token_set_ratio,Fresh,1
"Radish seeds, raw, sprouted",100.0,895,Radish,partial_token_set_ratio,Fresh,0
"Radishes, raw, white icicle",100.0,909,Radish,partial_token_set_ratio,Fresh,1
"Radishes, raw, oriental",100.0,1289,Radish,partial_token_set_ratio,Fresh,1
"Radishes, pickled, hawaiian style",100.0,1646,Radish,partial_token_set_ratio,Fresh,0
"Radishes, with salt, drained, boiled, cooked, oriental",100.0,4761,Radish,partial_token_set_ratio,Fresh,0
"Radishes, without salt, drained, boiled, cooked, oriental",100.0,4985,Radish,partial_token_set_ratio,Fresh,0
"Fish, raw, swordfish",83.33333333333334,204,Radish,partial_token_set_ratio,Fresh,0
"Raisins, seedless",80.0,367,Radish,partial_token_set_ratio,Fresh,0
"Raisins, seeded",80.0,473,Radish,partial_token_set_ratio,Fresh,0
"Radicchio, raw",80.0,512,Radish,partial_token_set_ratio,Fresh,0
"Side dishes, potato salad",80.0,1137,Radish,partial_token_set_ratio,Fresh,0
"Gourd, raw, dishcloth (towelgourd)",80.0,1492,Radish,partial_token_set_ratio,Fresh,0
"Peanuts, raw, spanish",72.72727272727273,92,Radish,partial_token_set_ratio,Fresh,0
"Fish, raw, spanish, mackerel",72.72727272727273,795,Radish,partial_token_set_ratio,Fresh,0
"Seaweed, raw, irishmoss",72.72727272727273,1256,Radish,partial_token_set_ratio,Fresh,0
"Restaurant, spanish rice, Mexican",72.72727272727273,1529,Radish,partial_token_set_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, loin",72.72727272727273,3564,Radish,partial_token_set_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, rib",72.72727272727273,3646,Radish,partial_token_set_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, sirloin",72.72727272727273,4368,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, ground lamb, imported, New Zealand",72.72727272727273,4994,Radish,partial_token_set_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, whole, loin, fresh",72.72727272727273,5662,Radish,partial_token_set_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, leg (top round)",72.72727272727273,6063,Radish,partial_token_set_ratio,Fresh,0
"Game meat, braised, cooked, separable lean only, shoulder clod, deer",72.72727272727273,6130,Radish,partial_token_set_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, osso buco, foreshank",72.72727272727273,6764,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",72.72727272727273,7134,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, hind-shank, imported, New Zealand",72.72727272727273,7135,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, fore-shank, imported, New Zealand",72.72727272727273,7162,Radish,partial_token_set_ratio,Fresh,0
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",72.72727272727273,7172,Radish,partial_token_set_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, country-style ribs, loin, fresh",72.72727272727273,7252,Radish,partial_token_set_ratio,Fresh,0
"Chicken, braised, cooked, meat only, thigh, dark meat, broilers or fryers",72.72727272727273,7376,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, breast, imported, New Zealand",72.72727272727273,7386,Radish,partial_token_set_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, square-cut shoulder chops, imported, New Zealand",72.72727272727273,7772,Radish,partial_token_set_ratio,Fresh,0
"Horseradish, prepared",100.0,96,Radish,partial_token_sort_ratio,Fresh,0
"Sauce, horseradish",100.0,320,Radish,partial_token_sort_ratio,Fresh,0
"Radishes, raw",100.0,548,Radish,partial_token_sort_ratio,Fresh,1
"Radish seeds, raw, sprouted",100.0,895,Radish,partial_token_sort_ratio,Fresh,0
"Radishes, raw, white icicle",100.0,909,Radish,partial_token_sort_ratio,Fresh,1
"Radishes, raw, oriental",100.0,1289,Radish,partial_token_sort_ratio,Fresh,1
"Radishes, pickled, hawaiian style",100.0,1646,Radish,partial_token_sort_ratio,Fresh,0
"Radishes, with salt, drained, boiled, cooked, oriental",100.0,4761,Radish,partial_token_sort_ratio,Fresh,0
"Radishes, without salt, drained, boiled, cooked, oriental",100.0,4985,Radish,partial_token_sort_ratio,Fresh,0
"Fish, raw, swordfish",83.33333333333334,204,Radish,partial_token_sort_ratio,Fresh,0
"Raisins, seedless",80.0,367,Radish,partial_token_sort_ratio,Fresh,0
"Raisins, seeded",80.0,473,Radish,partial_token_sort_ratio,Fresh,0
"Radicchio, raw",80.0,512,Radish,partial_token_sort_ratio,Fresh,0
"Side dishes, potato salad",80.0,1137,Radish,partial_token_sort_ratio,Fresh,0
"Gourd, raw, dishcloth (towelgourd)",80.0,1492,Radish,partial_token_sort_ratio,Fresh,0
"Peanuts, raw, spanish",72.72727272727273,92,Radish,partial_token_sort_ratio,Fresh,0
"Fish, raw, spanish, mackerel",72.72727272727273,795,Radish,partial_token_sort_ratio,Fresh,0
"Seaweed, raw, irishmoss",72.72727272727273,1256,Radish,partial_token_sort_ratio,Fresh,0
"Restaurant, spanish rice, Mexican",72.72727272727273,1529,Radish,partial_token_sort_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, loin",72.72727272727273,3564,Radish,partial_token_sort_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, rib",72.72727272727273,3646,Radish,partial_token_sort_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, sirloin",72.72727272727273,4368,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, ground lamb, imported, New Zealand",72.72727272727273,4994,Radish,partial_token_sort_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, whole, loin, fresh",72.72727272727273,5662,Radish,partial_token_sort_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, leg (top round)",72.72727272727273,6063,Radish,partial_token_sort_ratio,Fresh,0
"Game meat, braised, cooked, separable lean only, shoulder clod, deer",72.72727272727273,6130,Radish,partial_token_sort_ratio,Fresh,0
"Veal, braised, cooked, separable lean only, osso buco, foreshank",72.72727272727273,6764,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, neck chops, imported, New Zealand",72.72727272727273,7134,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, hind-shank, imported, New Zealand",72.72727272727273,7135,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, fore-shank, imported, New Zealand",72.72727272727273,7162,Radish,partial_token_sort_ratio,Fresh,0
"Chicken, braised, cooked, meat only, drumstick, dark meat, broilers or fryers",72.72727272727273,7172,Radish,partial_token_sort_ratio,Fresh,0
"Pork, braised, cooked, separable lean only, country-style ribs, loin, fresh",72.72727272727273,7252,Radish,partial_token_sort_ratio,Fresh,0
"Chicken, braised, cooked, meat only, thigh, dark meat, broilers or fryers",72.72727272727273,7376,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, breast, imported, New Zealand",72.72727272727273,7386,Radish,partial_token_sort_ratio,Fresh,0
"Lamb, braised, cooked, separable lean only, square-cut shoulder chops, imported, New Zealand",72.72727272727273,7772,Radish,partial_token_sort_ratio,Fresh,0
"Radish seeds, raw, sprouted",100.0,895,Radish,token_ratio,Fresh,0
"Radish seeds, raw, sprouted",100.0,895,Radish,token_set_ratio,Fresh,0
"Horseradish, prepared",90.0,96,Radish,WRatio,Fresh,0
"Sauce, horseradish",90.0,320,Radish,WRatio,Fresh,0
"Radishes, raw",90.0,548,Radish,WRatio,Fresh,1
"Radish seeds, raw, sprouted",90.0,895,Radish,WRatio,Fresh,0
"Radishes, raw, white icicle",90.0,909,Radish,WRatio,Fresh,1
"Radishes, raw, oriental",90.0,1289,Radish,WRatio,Fresh,1
"Radishes, pickled, hawaiian style",90.0,1646,Radish,WRatio,Fresh,0
"Fish, raw, swordfish",75.00000000000001,204,Radish,WRatio,Fresh,0
"Raisins, seedless",72.0,367,Radish,WRatio,Fresh,0
"Raisins, seeded",72.0,473,Radish,WRatio,Fresh,0
"Radicchio, raw",72.0,512,Radish,WRatio,Fresh,0
"Raisins, golden seedless",72.0,1196,Radish,WRatio,Fresh,0
"Kale, unprepared, frozen",100.0,1167,Kale,partial_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,partial_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,partial_ratio,Frozen,1
"Kale, unprepared, frozen",100.0,1167,Kale,partial_token_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,partial_token_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,partial_token_ratio,Frozen,1
"Kale, unprepared, frozen",100.0,1167,Kale,partial_token_set_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,partial_token_set_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,partial_token_set_ratio,Frozen,1
"Kale, unprepared, frozen",100.0,1167,Kale,partial_token_sort_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,partial_token_sort_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,partial_token_sort_ratio,Frozen,1
"Kale, unprepared, frozen",100.0,1167,Kale,token_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,token_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,token_ratio,Frozen,1
"Kale, unprepared, frozen",100.0,1167,Kale,token_set_ratio,Frozen,1
"Kale, with salt, drained, boiled, cooked, frozen",100.0,3580,Kale,token_set_ratio,Frozen,1
"Kale, without salt, drained, boiled, cooked, frozen",100.0,4358,Kale,token_set_ratio,Frozen,1
"Kale, unprepared, frozen",90.0,1167,Kale,WRatio,Frozen,1
"Kale, raw, scotch",100.0,378,Kale,partial_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,partial_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,partial_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,partial_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,partial_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,partial_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,partial_ratio,Fresh,0
Triticale,85.71428571428572,655,Kale,partial_ratio,Fresh,0
"Oil, bowhead (Alaska Native), whale",85.71428571428572,2611,Kale,partial_ratio,Fresh,0
"Sandwich spread, unspecified oils, regular, with chopped pickle",85.71428571428572,5513,Kale,partial_ratio,Fresh,0
"Kale, raw, scotch",100.0,378,Kale,partial_token_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,partial_token_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,partial_token_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,partial_token_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,partial_token_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,partial_token_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,partial_token_ratio,Fresh,0
Triticale,85.71428571428572,655,Kale,partial_token_ratio,Fresh,0
"Whale, eyes (Alaska Native), beluga",85.71428571428572,1383,Kale,partial_token_ratio,Fresh,0
"Oil, whale (Alaska Native), beluga",85.71428571428572,1498,Kale,partial_token_ratio,Fresh,0
"Beverages, ginger ale, carbonated",85.71428571428572,1559,Kale,partial_token_ratio,Fresh,0
"Restaurant, corn, tamale, Latino",85.71428571428572,1664,Kale,partial_token_ratio,Fresh,0
"Restaurant, pork, tamale, Latino",85.71428571428572,1665,Kale,partial_token_ratio,Fresh,0
"Whale, raw (Alaska Native), meat, beluga",85.71428571428572,2085,Kale,partial_token_ratio,Fresh,0
"Oil, bowhead (Alaska Native), whale",85.71428571428572,2611,Kale,partial_token_ratio,Fresh,0
"Whale, raw (Alaska Native), flipper, beluga",85.71428571428572,2996,Kale,partial_token_ratio,Fresh,0
"Whale, raw (Alaska Native), liver, beluga",85.71428571428572,3292,Kale,partial_token_ratio,Fresh,0
"Whale, subcutaneous fat (blubber) (Alaska Native), bowhead",85.71428571428572,6097,Kale,partial_token_ratio,Fresh,0
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",85.71428571428572,6525,Kale,partial_token_ratio,Fresh,0
"Kale, raw, scotch",100.0,378,Kale,partial_token_set_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,partial_token_set_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,partial_token_set_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,partial_token_set_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,partial_token_set_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,partial_token_set_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,partial_token_set_ratio,Fresh,0
Triticale,85.71428571428572,655,Kale,partial_token_set_ratio,Fresh,0
"Whale, eyes (Alaska Native), beluga",85.71428571428572,1383,Kale,partial_token_set_ratio,Fresh,0
"Oil, whale (Alaska Native), beluga",85.71428571428572,1498,Kale,partial_token_set_ratio,Fresh,0
"Beverages, ginger ale, carbonated",85.71428571428572,1559,Kale,partial_token_set_ratio,Fresh,0
"Restaurant, corn, tamale, Latino",85.71428571428572,1664,Kale,partial_token_set_ratio,Fresh,0
"Restaurant, pork, tamale, Latino",85.71428571428572,1665,Kale,partial_token_set_ratio,Fresh,0
"Whale, raw (Alaska Native), meat, beluga",85.71428571428572,2085,Kale,partial_token_set_ratio,Fresh,0
"Oil, bowhead (Alaska Native), whale",85.71428571428572,2611,Kale,partial_token_set_ratio,Fresh,0
"Whale, raw (Alaska Native), flipper, beluga",85.71428571428572,2996,Kale,partial_token_set_ratio,Fresh,0
"Whale, raw (Alaska Native), liver, beluga",85.71428571428572,3292,Kale,partial_token_set_ratio,Fresh,0
"Whale, subcutaneous fat (blubber) (Alaska Native), bowhead",85.71428571428572,6097,Kale,partial_token_set_ratio,Fresh,0
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",85.71428571428572,6525,Kale,partial_token_set_ratio,Fresh,0
"Kale, raw, scotch",100.0,378,Kale,partial_token_sort_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,partial_token_sort_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,partial_token_sort_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,partial_token_sort_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,partial_token_sort_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,partial_token_sort_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,partial_token_sort_ratio,Fresh,0
Triticale,85.71428571428572,655,Kale,partial_token_sort_ratio,Fresh,0
"Whale, eyes (Alaska Native), beluga",85.71428571428572,1383,Kale,partial_token_sort_ratio,Fresh,0
"Oil, whale (Alaska Native), beluga",85.71428571428572,1498,Kale,partial_token_sort_ratio,Fresh,0
"Beverages, ginger ale, carbonated",85.71428571428572,1559,Kale,partial_token_sort_ratio,Fresh,0
"Restaurant, corn, tamale, Latino",85.71428571428572,1664,Kale,partial_token_sort_ratio,Fresh,0
"Restaurant, pork, tamale, Latino",85.71428571428572,1665,Kale,partial_token_sort_ratio,Fresh,0
"Whale, raw (Alaska Native), meat, beluga",85.71428571428572,2085,Kale,partial_token_sort_ratio,Fresh,0
"Oil, bowhead (Alaska Native), whale",85.71428571428572,2611,Kale,partial_token_sort_ratio,Fresh,0
"Whale, raw (Alaska Native), flipper, beluga",85.71428571428572,2996,Kale,partial_token_sort_ratio,Fresh,0
"Whale, raw (Alaska Native), liver, beluga",85.71428571428572,3292,Kale,partial_token_sort_ratio,Fresh,0
"Whale, subcutaneous fat (blubber) (Alaska Native), bowhead",85.71428571428572,6097,Kale,partial_token_sort_ratio,Fresh,0
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",85.71428571428572,6525,Kale,partial_token_sort_ratio,Fresh,0
"Kale, raw, scotch",100.0,378,Kale,token_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,token_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,token_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,token_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,token_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,token_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,token_ratio,Fresh,0
"Kale, raw, scotch",100.0,378,Kale,token_set_ratio,Fresh,1
"Kale, raw",100.0,658,Kale,token_set_ratio,Fresh,1
"Kale, with salt, drained, boiled, cooked",100.0,2089,Kale,token_set_ratio,Fresh,0
"Vegetable smoothie, KALE BLAZER, NAKED JUICE",100.0,2772,Kale,token_set_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked",100.0,2912,Kale,token_set_ratio,Fresh,0
"Kale, with salt, drained, boiled, cooked, scotch",100.0,3581,Kale,token_set_ratio,Fresh,0
"Kale, without salt, drained, boiled, cooked, scotch",100.0,4417,Kale,token_set_ratio,Fresh,0
"Kale, raw, scotch",90.0,378,Kale,WRatio,Fresh,1
"Kale, raw",90.0,658,Kale,WRatio,Fresh,1
"Toppings, pineapple",100.0,249,Pineapple,partial_ratio,Fresh,0
"Pineapple, all varieties, raw",100.0,769,Pineapple,partial_ratio,Fresh,1
Orange Pineapple Juice Blend,100.0,799,Pineapple,partial_ratio,Fresh,0
"Pineapple, traditional varieties, raw",100.0,2360,Pineapple,partial_ratio,Fresh,1
"Babyfood, orange and pineapple, juice",100.0,2436,Pineapple,partial_ratio,Fresh,0
"Pineapple, extra sweet variety, raw",100.0,2689,Pineapple,partial_ratio,Fresh,1
"Babyfood, junior, pears and pineapple, fruit",100.0,2841,Pineapple,partial_ratio,Fresh,0
"Babyfood, strained, pears and pineapple, fruit",100.0,3857,Pineapple,partial_ratio,Fresh,0
"Frozen novelties, pineapple-coconut, ice type",100.0,3976,Pineapple,partial_ratio,Fresh,0
"Babyfood, strained, pineapple, fruit pudding, dessert",100.0,4143,Pineapple,partial_ratio,Fresh,0
"Beverages, Orange Pineapple, V8 SPLASH Juice Drinks",100.0,4396,Pineapple,partial_ratio,Fresh,0
"Babyfood, strained, applesauce and pineapple, fruit",100.0,4424,Pineapple,partial_ratio,Fresh,0
"Cake, prepared from recipe, pineapple upside-down",100.0,4678,Pineapple,partial_ratio,Fresh,0
"Babyfood, junior, applesauce and pineapple, fruit",100.0,4745,Pineapple,partial_ratio,Fresh,0
"Babyfood, strained, bananas and pineapple with tapioca, fruit",100.0,5793,Pineapple,partial_ratio,Fresh,0
"Babyfood, junior, bananas and pineapple with tapioca, fruit",100.0,6045,Pineapple,partial_ratio,Fresh,0
Poi,80.0,679,Pineapple,partial_ratio,Fresh,0
"Beverages, diet, lemon, ready to drink, black and green, tea, SNAPPLE",80.0,6271,Pineapple,partial_ratio,Fresh,0
"Beverages, diet, peach, ready to drink, black and green, tea, SNAPPLE",80.0,6272,Pineapple,partial_ratio,Fresh,0
"Toppings, pineapple",100.0,249,Pineapple,partial_token_ratio,Fresh,0
"Pineapple, all varieties, raw",100.0,769,Pineapple,partial_token_ratio,Fresh,1
Orange Pineapple Juice Blend,100.0,799,Pineapple,partial_token_ratio,Fresh,0
"Pineapple, traditional varieties, raw",100.0,2360,Pineapple,partial_token_ratio,Fresh,1
"Babyfood, orange and pineapple, juice",100.0,2436,Pineapple,partial_token_ratio,Fresh,0
"Pineapple, extra sweet variety, raw",100.0,2689,Pineapple,partial_token_ratio,Fresh,1
"Babyfood, junior, pears and pineapple, fruit",100.0,2841,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, strained, pears and pineapple, fruit",100.0,3857,Pineapple,partial_token_ratio,Fresh,0
"Frozen novelties, pineapple-coconut, ice type",100.0,3976,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, strained, pineapple, fruit pudding, dessert",100.0,4143,Pineapple,partial_token_ratio,Fresh,0
"Beverages, Orange Pineapple, V8 SPLASH Juice Drinks",100.0,4396,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, strained, applesauce and pineapple, fruit",100.0,4424,Pineapple,partial_token_ratio,Fresh,0
"Cake, prepared from recipe, pineapple upside-down",100.0,4678,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, junior, applesauce and pineapple, fruit",100.0,4745,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, strained, bananas and pineapple with tapioca, fruit",100.0,5793,Pineapple,partial_token_ratio,Fresh,0
"Babyfood, junior, bananas and pineapple with tapioca, fruit",100.0,6045,Pineapple,partial_token_ratio,Fresh,0
Poi,80.0,679,Pineapple,partial_token_ratio,Fresh,0
"Toppings, pineapple",100.0,249,Pineapple,partial_token_set_ratio,Fresh,0
